RAW;site;name;sample;treatments;code;years;forest_type;slope_position;aspect;precipitation;slope;soil_initial;dry_soil;soil_accumulated;soil_kg;area (m2);soil_area;sieved;percentage_initial_sieved;percentage_accumulated;species_richness;total_seeds ;seeds_area;tree_seeds;shrub_seeds;unknown_seeds;Notant;Auschi;Notdom;Pinpon;Discha;Mayboa;Schpat;Oviand;Arichi;Diojun;Ber sp.;Alsaur;Vicnig;;;Non identified (intact);Muehas (fruit);brokpinpon;BrokenSchpat;BrokenOviand;non identified 3-4mm (broken);non identified 2-3mm (broken);;
1;1;Cholila;CA4;unburned;CC;u-2015;nire_cip;upper;south;1497;21;;1381.2;1381.2;1.3812;0.03;46.04;225.2;16.30;0.00;6;29;967;21;8;0;1;2;;;12;6;5;;3;;;;;;;;1;;1;;7;;;
2;1;Cholila;CB4;unburned;CC;u-2015;nire_cip;middle;south;1497;28;;1418.7;1418.7;1.4187;0.03;47.29;210.2;14.82;0.00;4;20;667;2;18;0;;1;;1;;;3;;;15;;;;;;;;;;;;16;;
3;1;Cholila;CC4;unburned;CC;u-2015;nire_cip;low;south;1497;18;;833.3;833.3;0.8333;0.03;27.77666667;191.8;23.02;0.00;3;17;567;0;8;9;;;;;;;4;;4;;;;;;;9;;;;1;10;22;;
4;2;Cholila;HA4;unburned;CH;u-2015;cip;upper;south;1488.1;28;;410.1;410.1;0.4101;0.03;13.67;77.9;19.00;0.00;4;336;11200;302;34;0;;143;;;159;;;1;33;;;;;;;;;;;;66;6;;
5;2;Cholila;HB4;unburned;CH;u-2015;cip;middle;south;1488.1;16;;1754.4;1754.4;1.7544;0.03;58.48;232.7;13.26;0.00;2;21;700;12;9;0;;12;;;;;;;9;;;;;;;;;;;;15;;;
6;2;Cholila;HC4;unburned;CH;u-2015;cip;low;south;1488.1;20;;699.1;699.1;0.6991;0.03;23.30333333;94.8;13.56;0.00;3;221;7367;2;219;0;;;;;;2;1;15;203;;;;;;;;;;;5;58;;;
7;3;Golondrinas;RA1;unburned;CR;u-2021;cip_coi;upper;southwest;1409.6;23;;1202.2;1202.2;1.2022;0.03;40.07333333;290.2;24.14;0.00;4;91;3033;88;3;0;;87;1;;;;;3;;;;;;;;;;;;;;7;;
8;3;Golondrinas;RA2;unburned;CR;u-2021;cip_coi;upper;southwest;1409.6;39;;892.3;892.3;0.8923;0.03;29.74333333;264.4;29.63;0.00;4;89;2967;87;2;0;;83;2;;;2;;;2;;;;;;;;;;;;;;;
9;3;Golondrinas;RA3;unburned;CR;u-2021;cip_coi;upper;southwest;1409.6;28;;1911.2;1911.2;1.9112;0.03;63.70666667;310.3;16.24;0.00;6;20;667;18;2;0;;14;;;4;;2;;;;;;;;;;;;;;;;;
10;4;Golondrinas;GC0;unburned;CG;u-2021;cip_coi;upper;south;1236.2;19;;790.1;790.1;0.7901;0.03;26.33666667;230.2;29.14;0.00;4;73;2433;21;52;0;;18;3;;;;;;52;;;;;;;;;;;;15;3;;
